Alta Floresta D'Oeste , RO
Ariquemes , RO
Cerejeiras , RO
Colorado do Oeste , RO
Costa Marques , RO
Corumbiara , RO
Espigão D'Oeste , RO
Guajará-Mirim , RO
Jaru , RO
Ji-Paraná , RO
Machadinho D'Oeste , RO
Nova Brasilândia D'Oeste , RO
Ouro Preto do Oeste , RO
Pimenta Bueno , RO
Porto Velho , RO
Presidente Médici , RO
Rio Crespo , RO
Rolim de Moura , RO
Santa Luzia D'Oeste , RO
Vilhena , RO
São Miguel do Guaporé , RO
Nova Mamoré , RO
Alvorada D'Oeste , RO
Alto Alegre dos Parecis , RO
Alto Paraíso , RO
Buritis , RO
Novo Horizonte do Oeste , RO
Campo Novo de Rondônia , RO
Cacaulândia , RO
Candeias do Jamari , RO
Castanheiras , RO
Chupinguaia , RO
Cujubim , RO
Governador Jorge Teixeira , RO
Itapuã do Oeste , RO
Ministro Andreazza , RO
Mirante da Serra , RO
Monte Negro , RO
Nova União , RO
Parecis , RO
Cacoal , RO
São Felipe D'Oeste , RO
São Francisco do Guaporé , RO
Teixeirópolis , RO
Theobroma , RO
Seringueiras , RO
Vale do Paraíso , RO
Urupá , RO
Acrelândia , AC
Vale do Anari , RO
Brasiléia , AC
Bujari , AC
Capixaba , AC
Assis Brasil , AC
Pimenteiras do Oeste , RO
Cabixi , RO
Feijó , AC
Cruzeiro do Sul , AC
Primavera de Rondônia , RO
Manoel Urbano , AC
Porto Walter , AC
Rio Branco , AC
Marechal Thaumaturgo , AC
Mâncio Lima , AC
Plácido de Castro , AC
Santa Rosa do Purus , AC
Senador Guiomard , AC
Sena Madureira , AC
Tarauacá , AC
Xapuri , AC
Porto Acre , AC
Alvarães , AM
Amaturá , AM
Anamã , AM
Anori , AM
Apuí , AM
Atalaia do Norte , AM
Autazes , AM
Barcelos , AM
Barreirinha , AM
Benjamin Constant , AM
Beruri , AM
Boa Vista do Ramos , AM
Caapiranga , AM
Borba , AM
Boca do Acre , AM
Epitaciolândia , AC
Carauari , AM
Jordão , AC
Careiro da Várzea , AM
Rodrigues Alves , AC
Codajás , AM
Canutama , AM
Envira , AM
Careiro , AM
Guajará , AM
Coari , AM
Ipixuna , AM
Eirunepé , AM
Itamarati , AM
Itacoatiara , AM
Itapiranga , AM
Japurá , AM
Juruá , AM
Jutaí , AM
Lábrea , AM
Manacapuru , AM
Manaquiri , AM
Manaus , AM
Manicoré , AM
Maraã , AM
Maués , AM
Nhamundá , AM
Nova Olinda do Norte , AM
Novo Airão , AM
Novo Aripuanã , AM
Parintins , AM
Pauini , AM
Presidente Figueiredo , AM
Rio Preto da Eva , AM
Santa Isabel do Rio Negro , AM
Santo Antônio do Içá , AM
São Gabriel da Cachoeira , AM
São Paulo de Olivença , AM
São Sebastião do Uatumã , AM
Silves , AM
Fonte Boa , AM
Tapauá , AM
Humaitá , AM
Iranduba , AM
Uarini , AM
Tabatinga , AM
Tefé , AM
Amajari , RR
Alto Alegre , RR
Boa Vista , RR
Bonfim , RR
Cantá , RR
Caracaraí , RR
Caroebe , RR
Iracema , RR
Mucajaí , RR
Pacaraima , RR
Normandia , RR
Rorainópolis , RR
São João da Baliza , RR
São Luiz , RR
Tonantins , AM
Abel Figueiredo , PA
Urucará , AM
Urucurituba , AM
Uiramutã , RR
Abaetetuba , PA
Alenquer , PA
Almeirim , PA
Altamira , PA
Anajás , PA
Ananindeua , PA
Anapu , PA
Augusto Corrêa , PA
Aurora do Pará , PA
Aveiro , PA
Acará , PA
Afuá , PA
Água Azul do Norte , PA
Barcarena , PA
Belém , PA
Belterra , PA
Benevides , PA
Bom Jesus do Tocantins , PA
Bonito , PA
Bragança , PA
Brasil Novo , PA
Brejo Grande do Araguaia , PA
Breu Branco , PA
Breves , PA
Bujaru , PA
Cachoeira do Piriá , PA
Cachoeira do Arari , PA
Cametá , PA
Canaã dos Carajás , PA
Capanema , PA
Capitão Poço , PA
Castanhal , PA
Chaves , PA
Colares , PA
Conceição do Araguaia , PA
Concórdia do Pará , PA
Cumaru do Norte , PA
Curionópolis , PA
Curralinho , PA
Curuá , PA
Curuçá , PA
Dom Eliseu , PA
Eldorado do Carajás , PA
Faro , PA
Floresta do Araguaia , PA
Garrafão do Norte , PA
Goianésia do Pará , PA
Gurupá , PA
Igarapé-Açu , PA
Igarapé-Miri , PA
Inhangapi , PA
Ipixuna do Pará , PA
Irituia , PA
Itaituba , PA
Itupiranga , PA
Jacareacanga , PA
Jacundá , PA
Juruti , PA
Marabá , PA
Limoeiro do Ajuru , PA
Mãe do Rio , PA
